Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id,Scored,Attempts,Number,Nationality,Position,Age,Caps,Goals,Club
Ryan Christie,322391,Premiership,1,3,61.29,95.83,1014,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 2",1,3,68.82,97.83,1015,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 2",1,6,26.88,42.0,1016,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,Premiership,2,8,64.52,64.17,1017,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,Premiership,2,1,34.41,80.0,1018,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,"UEFA Europa League, Group E",1,3,73.66,67.33,1019,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,Premiership,1,6,35.48,47.33,1020,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,"UEFA Champions League, Qualification",1,2,48.39,72.0,6044199,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Christie,322391,Premiership,1,1,28.49,94.33,6044200,9,11,11,SCO,3,29,49,6,Bournemouth
Ryan Porteous,889776,EFL Cup,0,11,49.46,0.0,6058257,0,1,15,SCO,1,25,11,1,Watford
Stuart Armstrong,117083,Scottish League Cup,1,7,50.54,41.17,6045765,1,1,17,SCO,2,32,50,5,Southampton
Lewis Morgan,383550,MLS,2,3,63.98,78.83,6060539,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,3,70.97,93.67,6060251,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,1,37.63,94.67,3730,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,6,34.95,47.33,3731,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,3,72.58,91.5,3732,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,2,49.46,84.17,3733,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,3,70.97,99.0,3734,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,2,55.38,80.0,3735,8,9,18,SCO,2,27,3,0,New York Red Bulls
Lewis Morgan,383550,MLS,1,3,67.2,97.83,3736,8,9,18,SCO,2,27,3,0,New York Red Bulls
Tommy Conway,1104987,Championship,1,1,27.42,91.5,6061434,6,6,19,SCO,3,21,1,0,Bristol City
